DataLength,ChunkSize,Time(microseconds),ComparisonCount
1000,1,95,8700
2000,1,163,19424
4000,1,398,42818
8000,1,867,93694
16000,1,2112,203396
32000,1,3945,438850
64000,1,8455,941376
128000,1,19514,2010529
256000,1,39736,4276938
512000,1,106229,9065548
1024000,1,219453,19154632
2048000,1,354488,40355995
4096000,1,738528,84808606
8192000,1,1544468,177806984
16384000,1,3225808,371998773
10000000,1,1914546,220097721
