DataLength,ChunkSize,Time(microseconds),ComparisonCount
1000,1,53,8697
2000,1,139,19423
4000,1,317,42864
8000,1,721,93761
16000,1,1547,203590
32000,1,3311,439214
64000,1,7061,942093
128000,1,14895,2012132
256000,1,31438,4280139
512000,1,67559,9072076
1024000,1,139678,19168164
2048000,1,327907,40385301
4096000,1,718646,84866671
8192000,1,1486160,177922932
